Pclass,Sex,Age,SibSp,Parch,Embarked
3,male,34.5,1,1,Q
3,female,47.0,2,0,S
2,male,62.0,1,1,Q
3,male,27.0,1,1,S
3,female,22.0,3,0,S
3,male,14.0,1,1,S
3,female,30.0,1,1,Q
2,male,26.0,3,0,S
3,female,18.0,1,1,C
3,male,21.0,3,0,S
3,male,27.0,1,1,S
1,male,46.0,1,1,S
1,female,23.0,2,0,S
2,male,63.0,2,0,S
1,female,47.0,2,0,S
2,female,24.0,2,0,C
2,male,35.0,1,1,Q
3,male,21.0,1,1,C
3,female,27.0,2,0,S
3,female,45.0,1,1,C
1,male,55.0,2,0,C
3,male,9.0,2,0,S
1,female,27.0,1,1,S
1,male,21.0,2,0,C
1,female,48.0,5,0,C
3,male,50.0,2,0,S
1,female,22.0,2,0,C
3,male,22.5,1,1,C
1,male,41.0,1,1,S
3,male,27.0,3,0,C
2,male,50.0,2,0,S
2,male,24.0,3,0,S
3,female,33.0,4,0,S
3,female,27.0,4,0,S
1,male,30.0,2,0,C
3,male,18.5,1,1,C
3,female,27.0,1,1,S
3,female,21.0,1,1,S
3,male,25.0,1,1,S
3,male,27.0,1,1,S
3,male,39.0,2,0,C
1,male,27.0,1,1,S
3,male,41.0,1,1,S
2,female,30.0,1,1,S
1,female,45.0,2,0,S
3,male,25.0,1,1,S
1,male,45.0,1,1,C
3,male,27.0,1,1,Q
1,female,60.0,1,1,C
3,female,36.0,3,0,S
1,male,24.0,2,0,S
2,male,27.0,1,1,C
2,female,20.0,4,0,S
1,female,28.0,6,0,S
2,male,27.0,1,1,C
3,male,10.0,6,0,Q
3,male,35.0,1,1,S
3,male,25.0,1,1,S
3,male,27.0,2,0,S
1,female,36.0,1,1,C
3,male,17.0,1,1,S
2,male,32.0,1,1,S
3,male,18.0,1,1,S
3,female,22.0,1,1,Q
1,male,13.0,5,0,C
2,female,27.0,1,1,S
3,female,18.0,1,1,Q
1,male,47.0,1,1,S
1,male,31.0,1,1,C
1,female,60.0,6,0,S
3,female,24.0,1,1,Q
3,male,21.0,1,1,S
3,female,29.0,1,1,S
1,male,28.5,1,1,C
1,female,35.0,1,1,C
1,male,32.5,1,1,C
3,male,27.0,1,1,S
1,female,55.0,3,0,S
2,male,30.0,1,1,S
3,female,24.0,1,1,Q
3,male,6.0,3,0,C
1,male,67.0,2,0,S
1,male,49.0,1,1,S
3,male,27.0,1,1,S
2,male,27.0,1,1,Q
3,male,27.0,2,0,C
3,female,27.0,1,1,Q
3,female,18.0,1,1,S
3,female,27.0,1,1,Q
2,male,2.0,3,0,S
3,female,22.0,2,0,S
3,male,27.0,1,1,S
1,female,27.0,4,0,S
3,male,27.0,1,1,S
1,male,25.0,1,1,C
3,male,25.0,1,1,S
1,female,76.0,2,0,S
3,male,29.0,1,1,S
3,female,20.0,1,1,S
3,male,33.0,1,1,S
1,female,43.0,2,0,C
2,male,27.0,2,0,S
3,male,27.0,1,1,Q
3,male,26.0,1,1,S
3,female,16.0,3,0,C
3,male,28.0,1,1,S
3,male,21.0,1,1,Q
3,male,27.0,1,1,Q
3,male,27.0,1,1,S
2,male,18.5,1,1,S
2,male,41.0,1,1,C
3,female,27.0,1,1,Q
1,female,36.0,1,1,C
3,female,18.5,1,1,Q
1,female,63.0,2,0,S
3,male,18.0,2,0,C
3,male,27.0,1,1,C
3,female,1.0,3,0,S
1,male,36.0,1,1,C
2,female,29.0,2,0,S
2,female,12.0,1,1,S
3,male,27.0,2,0,Q
1,female,35.0,2,0,C
3,male,28.0,1,1,S
3,male,27.0,1,1,Q
3,female,17.0,2,0,S
3,male,22.0,1,1,S
3,female,27.0,3,0,Q
2,male,42.0,1,1,S
3,male,24.0,1,1,S
3,male,32.0,1,1,S
1,male,53.0,1,1,C
3,female,27.0,5,0,S
3,male,27.0,2,0,C
3,male,43.0,1,1,S
3,male,24.0,1,1,S
3,male,26.5,1,1,C
2,male,26.0,1,1,S
3,female,23.0,1,1,S
3,male,40.0,8,0,S
3,female,10.0,8,0,S
1,female,33.0,1,1,S
1,male,61.0,5,0,C
2,male,28.0,1,1,S
1,male,42.0,1,1,S
3,male,31.0,4,0,S
1,male,27.0,1,1,S
3,male,22.0,1,1,S
1,male,27.0,1,1,S
2,male,30.0,3,0,S
1,female,23.0,2,0,C
3,male,27.0,1,1,C
3,male,60.5,1,1,S
3,female,36.0,3,0,S
3,male,13.0,7,0,S
3,male,24.0,1,1,S
1,female,29.0,1,1,S
3,female,23.0,1,1,S
1,male,42.0,1,1,S
3,female,26.0,3,0,S
3,female,27.0,1,1,Q
3,male,7.0,3,0,C
2,female,26.0,1,1,S
3,male,27.0,1,1,S
2,male,41.0,1,1,S
3,female,26.0,3,0,S
1,male,48.0,1,1,C
3,male,18.0,5,0,S
1,female,27.0,1,1,C
3,female,22.0,1,1,S
3,male,27.0,1,1,S
3,male,27.0,1,1,C
3,male,23.0,2,0,S
3,male,27.0,1,1,C
3,male,40.0,7,0,S
2,female,15.0,3,0,S
2,female,20.0,1,1,S
1,male,54.0,2,0,C
2,female,36.0,4,0,S
1,female,64.0,3,0,C
2,male,30.0,1,1,S
1,male,37.0,3,0,C
1,female,18.0,2,0,S
3,male,27.0,1,1,Q
1,female,27.0,3,0,C
2,male,40.0,1,1,S
2,female,21.0,2,0,S
3,male,17.0,3,0,S
3,female,27.0,11,0,S
2,male,40.0,1,1,S
2,male,34.0,2,0,S
1,male,27.0,1,1,S
3,male,11.5,3,0,S
2,male,61.0,1,1,Q
2,male,8.0,3,0,S
3,male,33.0,1,1,S
1,male,6.0,3,0,C
3,female,18.0,1,1,S
2,male,23.0,1,1,S
3,female,27.0,1,1,S
3,female,27.0,1,1,Q
3,male,0.33,3,0,S
1,male,47.0,2,0,C
2,female,8.0,3,0,S
2,male,25.0,1,1,S
1,male,27.0,1,1,C
3,female,35.0,1,1,Q
2,male,24.0,1,1,S
1,female,33.0,1,1,C
3,male,25.0,1,1,S
3,male,32.0,1,1,S
3,male,27.0,1,1,S
2,male,17.0,1,1,S
2,female,60.0,2,0,S
3,female,38.0,7,0,S
1,male,42.0,1,1,S
3,female,27.0,1,1,Q
1,male,57.0,3,0,S
1,female,50.0,3,0,C
3,male,27.0,1,1,S
2,female,30.0,2,0,C
3,male,21.0,1,1,S
2,female,22.0,1,1,S
3,male,21.0,1,1,S
1,female,53.0,1,1,C
3,female,27.0,3,0,C
3,male,23.0,1,1,S
3,female,27.0,1,1,Q
3,male,40.5,1,1,S
2,male,36.0,1,1,S
2,male,14.0,1,1,S
1,female,21.0,1,1,S
3,male,21.0,2,0,S
3,male,27.0,1,1,Q
1,male,39.0,2,0,C
3,male,20.0,1,1,S
1,male,64.0,2,0,C
3,male,20.0,1,1,C
2,female,18.0,3,0,S
1,female,48.0,2,0,C
1,female,55.0,1,1,C
2,female,45.0,3,0,S
1,male,45.0,3,0,C
3,male,27.0,1,1,S
3,male,27.0,4,0,S
1,male,41.0,2,0,S
2,female,22.0,1,1,S
2,male,42.0,3,0,S
2,female,29.0,2,0,S
3,female,27.0,2,0,C
2,female,0.92,4,0,S
3,male,20.0,1,1,S
1,male,27.0,2,0,C
3,male,24.0,1,1,S
3,male,32.5,1,1,S
3,male,27.0,1,1,S
3,male,27.0,1,1,Q
3,male,28.0,1,1,S
2,female,19.0,1,1,S
3,male,21.0,1,1,S
3,male,36.5,2,0,S
3,male,21.0,1,1,S
2,female,29.0,3,0,S
3,female,1.0,3,0,S
2,male,30.0,1,1,C
3,male,27.0,1,1,S
1,male,27.0,1,1,S
3,male,27.0,1,1,S
3,female,27.0,1,1,S
3,male,17.0,1,1,S
1,male,46.0,1,1,C
3,male,27.0,1,1,Q
1,female,26.0,2,0,C
3,female,27.0,2,0,Q
3,male,27.0,1,1,C
2,female,20.0,2,0,S
2,male,28.0,1,1,S
2,male,40.0,2,0,S
2,male,30.0,2,0,S
2,male,22.0,1,1,S
3,female,23.0,1,1,S
3,male,0.75,3,0,S
3,female,27.0,1,1,Q
3,female,9.0,3,0,C
3,female,2.0,3,0,S
3,male,36.0,1,1,S
3,male,27.0,1,1,S
1,male,24.0,2,0,S
3,male,27.0,1,1,C
3,male,27.0,1,1,S
1,male,27.0,1,1,S
3,female,30.0,1,1,Q
3,male,27.0,1,1,C
1,male,53.0,3,0,S
3,male,36.0,1,1,S
3,male,26.0,1,1,S
2,female,1.0,4,0,C
3,male,27.0,3,0,C
1,male,30.0,1,1,S
3,male,29.0,1,1,S
3,male,32.0,1,1,S
2,male,27.0,1,1,C
2,male,43.0,2,0,S
3,male,24.0,1,1,S
3,female,27.0,1,1,Q
1,female,64.0,3,0,S
1,male,30.0,4,0,S
3,male,0.83,2,0,S
1,male,55.0,3,0,S
3,female,45.0,2,0,S
3,male,18.0,1,1,S
3,male,22.0,1,1,C
3,male,27.0,1,1,S
3,female,37.0,1,1,Q
1,female,55.0,1,1,C
3,female,17.0,1,1,Q
1,male,57.0,2,0,C
2,male,19.0,1,1,S
3,male,27.0,1,1,S
2,male,22.0,3,0,S
3,male,26.0,1,1,S
3,male,25.0,1,1,C
2,male,26.0,1,1,S
1,male,33.0,1,1,S
1,female,39.0,1,1,S
3,male,23.0,1,1,S
2,female,12.0,4,0,S
1,male,46.0,1,1,C
2,male,29.0,2,0,S
2,male,21.0,1,1,S
2,female,48.0,3,0,S
1,male,39.0,1,1,C
3,male,27.0,1,1,C
3,female,19.0,3,0,C
3,male,27.0,1,1,S
1,male,30.0,1,1,S
2,male,32.0,1,1,S
3,male,39.0,3,0,C
2,male,25.0,1,1,S
3,male,27.0,1,1,C
2,male,18.0,1,1,S
3,male,32.0,1,1,S
3,male,27.0,11,0,S
1,female,58.0,2,0,C
3,male,27.0,3,0,S
3,female,16.0,1,1,S
2,male,26.0,1,1,S
3,female,38.0,1,1,C
2,male,24.0,1,1,S
2,female,31.0,1,1,S
1,female,45.0,2,0,C
2,male,25.0,1,1,S
2,male,18.0,1,1,S
2,male,49.0,4,0,S
3,female,0.17,4,0,S
1,male,50.0,1,1,S
1,female,59.0,3,0,S
3,male,27.0,1,1,S
3,male,27.0,1,1,Q
3,female,30.0,2,0,S
3,male,14.5,11,0,S
2,female,24.0,3,0,C
2,female,31.0,1,1,S
3,male,27.0,1,1,S
1,female,25.0,2,0,C
3,female,27.0,11,0,S
3,male,27.0,2,0,C
3,female,22.0,1,1,S
1,female,45.0,2,0,C
2,male,29.0,1,1,C
2,male,21.0,2,0,S
1,female,31.0,1,1,C
1,male,49.0,1,1,S
2,male,44.0,1,1,S
1,female,54.0,3,0,S
1,female,45.0,1,1,C
3,female,22.0,3,0,S
2,male,21.0,1,1,S
1,male,55.0,1,1,S
3,male,5.0,7,0,S
3,male,27.0,1,1,Q
3,male,26.0,1,1,Q
3,female,27.0,1,1,S
3,female,19.0,2,0,S
2,male,27.0,1,1,S
2,female,24.0,4,0,S
3,male,24.0,1,1,S
2,male,57.0,1,1,S
3,male,21.0,1,1,Q
3,male,6.0,5,0,S
1,male,23.0,1,1,S
1,female,51.0,2,0,S
3,male,13.0,3,0,S
2,male,47.0,1,1,S
3,male,29.0,5,0,S
1,female,18.0,2,0,S
3,male,24.0,1,1,Q
1,female,48.0,3,0,C
3,male,22.0,1,1,S
3,male,31.0,1,1,Q
1,female,30.0,1,1,S
2,male,38.0,2,0,S
1,female,22.0,2,0,C
1,male,17.0,1,1,S
1,male,43.0,2,0,C
2,male,20.0,1,1,C
2,male,23.0,2,0,S
1,male,50.0,3,0,C
3,female,27.0,1,1,Q
3,female,3.0,3,0,S
3,female,27.0,1,1,Q
1,female,37.0,2,0,Q
3,female,28.0,1,1,S
3,male,27.0,1,1,S
1,female,39.0,1,1,C
3,male,38.5,1,1,S
3,male,27.0,1,1,S
3,male,27.0,3,0,C
